Vendor,DeviceID,DriverHi,DriverLo,NTDriverHi,NTDriverLo,CardName,Generic Name,Compatibility Flags.
0x1033, 0x0046, 0x00000000, 0x00000000, 0x00000000, 0x00000000,VideoLogic,PowerVR,SceneRenderer

0x1023, 0x8420, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,CyberBlade i7,None
0x1023, 0x8400, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,CyberBlade i7,None
0x1023, 0x8500, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Blade 3D,None
0x1023, 0x9320, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9320,None
0x1023, 0x9388, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9388,None
0x1023, 0x9397, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9397,None
0x1023, 0x939A, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9397 DVD,None
0x1023, 0x9440, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber,None
0x1023, 0x9520, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9520,None
0x1023, 0x9525, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9520 DVD,None
0x1023, 0x9540, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,CyberBlade E4,None
0x1023, 0x9660, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Cyber9385,None
0x1023, 0x9750, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,975,None
0x1023, 0x9754, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,9753,None
0x1023, 0x9850, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,3DImage,None
0x1023, 0x9880, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,Blade 3D,None
0x1023, 0x9910, 0x00000000, 0x00000000, 0x00000000, 0x00000000,Trident,CyberBlade-XP,None
